Player,Matches_x,Innings_x,Not Out,Runs_x,Highest Score,Average_x,Balls Faced,Strike Rate_x,100,50,0,4s,6s,Batting Position,Boundary %,Matches_y,Innings_y,Balls,Overs,Maidens,Runs_y,Wickets,Average_y,Economy,Strike Rate_y,4 wickets,5 wickets
F du Plessis (RCB),14.0,14.0,1.0,730.0,84,56.15,475.0,153.68,0.0,8.0,0.0,60.0,36.0,1.0,62.46575342,,,,,,,,,,,,
DP Conway (CSK),16.0,15.0,2.0,672.0,92*,51.69,481.0,139.7,0.0,6.0,1.0,77.0,18.0,1.0,61.9047619,,,,,,,,,,,,
RD Gaikwad (CSK),16.0,15.0,1.0,590.0,92,42.14,400.0,147.5,0.0,4.0,0.0,46.0,30.0,1.0,61.69491525,,,,,,,,,,,,
DA Warner (DC),14.0,14.0,0.0,516.0,86,36.85,392.0,131.63,0.0,6.0,2.0,69.0,10.0,1.0,65.11627907,,,,,,,,,,,,
RK Singh (KKR),14.0,14.0,6.0,474.0,67*,59.25,317.0,149.52,0.0,4.0,0.0,31.0,29.0,4.0,62.86919831,,,,,,,,,,,,
Ishan Kishan (MI),16.0,15.0,0.0,454.0,75,30.26,318.0,142.76,0.0,3.0,0.0,54.0,18.0,1.0,71.36563877,,,,,,,,,,,,
S Dube (CSK),16.0,14.0,3.0,418.0,52,38.0,264.0,158.33,0.0,3.0,0.0,12.0,35.0,4.0,61.72248804,,,,,,,,,,,,
N Rana (KKR),14.0,14.0,1.0,413.0,75,31.76,293.0,140.95,0.0,3.0,0.0,39.0,20.0,3.0,66.82808717,14.0,6.0,53.0,8.5,0.0,75.0,3.0,25.0,8.49,17.66,0.0,0.0
MP Stoinis (LSG),15.0,15.0,2.0,408.0,89*,31.38,272.0,150.0,0.0,3.0,2.0,28.0,27.0,4.0,67.15686275,15.0,5.0,65.0,10.5,0.0,100.0,5.0,20.0,9.23,13.0,0.0,0.0
GJ Maxwell (RCB),14.0,14.0,2.0,400.0,77,33.33,218.0,183.48,0.0,5.0,2.0,29.0,31.0,5.0,75.5,14.0,7.0,62.0,10.2,0.0,94.0,3.0,31.33,9.09,20.66,0.0,0.0
JC Buttler (RR),14.0,14.0,0.0,392.0,95,28.0,282.0,139.0,0.0,4.0,5.0,42.0,14.0,1.0,64.28571429,,,,,,,,,,,,
KR Mayers (LSG),13.0,13.0,0.0,379.0,73,29.15,263.0,144.1,0.0,4.0,2.0,38.0,22.0,3.0,74.93403694,,,,,,,,,,,,
S Dhawan (PBKS),11.0,11.0,2.0,373.0,99*,41.44,261.0,142.91,0.0,3.0,1.0,49.0,12.0,1.0,71.84986595,,,,,,,,,,,,
WP Saha (GT),17.0,17.0,1.0,371.0,81,23.18,287.0,129.26,0.0,2.0,2.0,47.0,8.0,1.0,63.61185984,,,,,,,,,,,,
B Sai Sudharsan (GT),8.0,8.0,1.0,362.0,96,51.71,256.0,141.4,0.0,3.0,0.0,33.0,12.0,3.0,56.35359116,,,,,,,,,,,,
SV Samson (RR),14.0,14.0,2.0,362.0,66*,30.16,236.0,153.38,0.0,3.0,2.0,25.0,24.0,3.0,67.40331492,,,,,,,,,,,,
N Pooran (LSG),15.0,15.0,3.0,358.0,62,29.83,207.0,172.94,0.0,2.0,2.0,26.0,26.0,4.0,72.62569832,,,,,,,,,,,,
HH Pandya (GT),16.0,15.0,4.0,346.0,66,31.45,253.0,136.75,0.0,2.0,0.0,26.0,15.0,4.0,56.06936416,16.0,11.0,150.0,25.0,0.0,228.0,3.0,76.0,9.12,50.0,0.0,0.0
NT Tilak Varma (MI),11.0,11.0,3.0,343.0,84*,42.87,209.0,164.11,0.0,1.0,0.0,26.0,23.0,4.0,70.55393586,,,,,,,,,,,,
RG Sharma (MI),16.0,16.0,0.0,332.0,65,20.75,250.0,132.8,0.0,2.0,2.0,35.0,17.0,1.0,72.89156627,,,,,,,,,,,,
AM Rahane (CSK),14.0,11.0,1.0,326.0,71*,32.6,189.0,172.48,0.0,2.0,0.0,24.0,16.0,4.0,58.89570552,,,,,,,,,,,,
JM Sharma (PBKS),14.0,14.0,1.0,309.0,49*,23.76,198.0,156.06,0.0,0.0,1.0,22.0,21.0,4.0,69.25566343,,,,,,,,,,,,
V Shankar (GT),14.0,10.0,2.0,301.0,63*,37.62,188.0,160.1,0.0,3.0,0.0,27.0,15.0,3.0,65.7807309,,,,,,,,,,,,
SO Hetmyer (RR),14.0,13.0,5.0,299.0,56*,37.37,197.0,151.77,0.0,1.0,0.0,12.0,23.0,5.0,62.20735786,,,,,,,,,,,,
JJ Roy (KKR),8.0,8.0,0.0,285.0,61,35.62,188.0,151.59,0.0,2.0,0.0,36.0,12.0,3.0,75.78947368,,,,,,,,,,,,
AR Patel (DC),14.0,13.0,3.0,283.0,54,28.3,203.0,139.4,0.0,1.0,0.0,21.0,15.0,4.0,61.48409894,14.0,13.0,282.0,47.0,0.0,338.0,11.0,30.72,7.19,25.63,0.0,0.0
LS Livingstone (PBKS),9.0,9.0,1.0,279.0,94,34.87,171.0,163.15,0.0,2.0,0.0,20.0,19.0,3.0,69.53405018,9.0,5.0,42.0,7.0,0.0,94.0,2.0,47.0,13.42,21.0,0.0,0.0
SM Curran (PBKS),14.0,13.0,3.0,276.0,55,27.6,203.0,135.96,0.0,1.0,0.0,20.0,13.0,4.0,57.24637681,14.0,14.0,287.0,47.5,0.0,489.0,10.0,48.9,10.22,28.7,0.0,0.0
KL Rahul (LSG),9.0,9.0,1.0,274.0,74,34.25,242.0,113.22,0.0,2.0,0.0,28.0,4.0,1.0,49.6350365,,,,,,,,,,,,
RA Tripathi (SRH),13.0,13.0,1.0,273.0,74*,22.75,213.0,128.16,0.0,1.0,1.0,29.0,10.0,3.0,64.46886447,,,,,,,,,,,,
MA Agarwal (SRH),10.0,10.0,0.0,270.0,83,27.0,210.0,128.57,0.0,1.0,0.0,29.0,6.0,1.0,56.2962963,,,,,,,,,,,,
D Padikkal (RR),11.0,11.0,1.0,261.0,52,26.1,200.0,130.5,0.0,2.0,0.0,31.0,6.0,3.0,61.30268199,,,,,,,,,,,,
DA Miller (GT),16.0,13.0,5.0,259.0,46,32.37,178.0,145.5,0.0,0.0,1.0,18.0,13.0,4.0,57.91505792,,,,,,,,,,,,
AK Markram (SRH),13.0,13.0,2.0,248.0,50,22.54,197.0,125.88,0.0,1.0,1.0,18.0,8.0,3.0,48.38709677,,,,,,,,,,,,
N Wadhera (MI),14.0,10.0,1.0,241.0,64,26.77,166.0,145.18,0.0,2.0,1.0,23.0,12.0,5.0,68.04979253,,,,,,,,,,,,
A Badoni (LSG),15.0,12.0,2.0,238.0,59*,23.8,172.0,138.37,0.0,1.0,0.0,13.0,12.0,3.0,52.10084034,,,,,,,,,,,,
TH David (MI),16.0,15.0,6.0,231.0,45*,25.66,146.0,158.21,0.0,0.0,2.0,12.0,15.0,3.0,59.74025974,,,,,,,,,,,,
Rahmanullah Gurbaz (KKR),11.0,11.0,0.0,227.0,81,20.63,170.0,133.52,0.0,2.0,2.0,17.0,15.0,3.0,69.60352423,,,,,,,,,,,,
AD Russell (KKR),14.0,14.0,3.0,227.0,42,20.63,156.0,145.51,0.0,0.0,1.0,13.0,18.0,5.0,70.4845815,14.0,9.0,91.0,15.1,0.0,172.0,7.0,24.57,11.34,13.0,0.0,0.0
Abhishek Sharma (SRH),11.0,11.0,0.0,226.0,67,20.54,157.0,143.94,0.0,2.0,1.0,28.0,6.0,4.0,65.48672566,11.0,5.0,72.0,12.0,0.0,124.0,2.0,62.0,10.33,36.0,0.0,0.0
PD Salt (DC),9.0,9.0,1.0,218.0,87,27.25,133.0,163.9,0.0,2.0,2.0,24.0,10.0,3.0,71.55963303,,,,,,,,,,,,
RR Rossouw (DC),9.0,9.0,2.0,209.0,82*,29.85,141.0,148.22,0.0,1.0,2.0,17.0,11.0,3.0,64.11483254,,,,,,,,,,,,
RA Jadeja (CSK),16.0,12.0,4.0,190.0,25*,23.75,133.0,142.85,0.0,0.0,0.0,11.0,9.0,5.0,51.57894737,16.0,16.0,342.0,57.0,0.0,431.0,20.0,21.55,7.56,17.1,0.0,0.0
KH Pandya (LSG),15.0,14.0,4.0,188.0,49*,18.8,165.0,113.93,0.0,0.0,3.0,15.0,6.0,4.0,51.06382979,15.0,12.0,252.0,42.0,0.0,313.0,9.0,34.77,7.45,28.0,0.0,0.0
A Taide (PBKS),7.0,7.0,0.0,186.0,66,26.57,129.0,144.18,0.0,2.0,1.0,20.0,6.0,3.0,62.3655914,,,,,,,,,,,,
Abdul Samad (SRH),9.0,8.0,4.0,169.0,37*,42.25,128.0,132.03,0.0,0.0,0.0,10.0,11.0,3.0,62.72189349,,,,,,,,,,,,
MK Pandey (DC),10.0,9.0,0.0,160.0,50,17.77,146.0,109.58,0.0,1.0,2.0,15.0,3.0,3.0,48.75,,,,,,,,,,,,
AT Rayudu (CSK),16.0,12.0,2.0,158.0,27*,15.8,113.0,139.82,0.0,0.0,1.0,10.0,9.0,4.0,59.49367089,,,,,,,,,,,,
M Shahrukh Khan (PBKS),14.0,13.0,6.0,156.0,41*,22.28,94.0,165.95,0.0,0.0,0.0,13.0,9.0,5.0,67.94871795,,,,,,,,,,,,
DC Jurel (RR),13.0,11.0,4.0,152.0,34*,21.71,88.0,172.72,0.0,0.0,1.0,11.0,9.0,3.0,64.47368421,,,,,,,,,,,,
Q de Kock (LSG),4.0,4.0,0.0,143.0,70,35.75,102.0,140.19,0.0,1.0,0.0,10.0,8.0,1.0,61.53846154,,,,,,,,,,,,
KD Karthik (RCB),13.0,13.0,1.0,140.0,30,11.66,104.0,134.61,0.0,0.0,4.0,13.0,5.0,5.0,58.57142857,,,,,,,,,,,,
Sikandar Raza (PBKS),7.0,7.0,2.0,139.0,57,27.8,98.0,141.83,0.0,1.0,0.0,10.0,6.0,3.0,54.67625899,7.0,6.0,72.0,12.0,0.0,119.0,3.0,39.65,9.91,24.0,0.0,0.0
MK Lomror (RCB),12.0,10.0,2.0,135.0,54*,16.87,97.0,139.17,0.0,1.0,1.0,9.0,8.0,3.0,62.22222222,,,,,,,,,,,,
Rashid Khan (GT),17.0,9.0,5.0,130.0,79*,32.5,60.0,216.66,0.0,1.0,2.0,8.0,13.0,4.0,84.61538462,17.0,17.0,402.0,67.0,0.0,552.0,27.0,20.44,8.23,14.88,1.0,0.0
MR Marsh (DC),9.0,9.0,0.0,128.0,63,14.22,97.0,131.95,0.0,1.0,2.0,11.0,7.0,3.0,67.1875,9.0,8.0,121.0,20.1,1.0,170.0,12.0,14.16,8.42,10.08,1.0,0.0
MM Ali (CSK),15.0,10.0,3.0,124.0,23,17.71,91.0,136.26,0.0,0.0,0.0,12.0,6.0,3.0,67.74193548,15.0,11.0,156.0,26.0,0.0,195.0,9.0,21.66,7.5,17.33,1.0,0.0
MW Short (PBKS),6.0,6.0,0.0,117.0,36,19.5,92.0,127.17,0.0,0.0,0.0,15.0,4.0,3.0,71.79487179,,,,,,,,,,,,
A Manohar (GT),9.0,6.0,0.0,114.0,42,19.0,83.0,137.34,0.0,0.0,0.0,6.0,7.0,3.0,57.89473684,,,,,,,,,,,,
SN Thakur (KKR),11.0,10.0,2.0,113.0,68,14.12,70.0,161.42,0.0,1.0,2.0,13.0,4.0,4.0,67.25663717,11.0,9.0,126.0,21.0,0.0,220.0,7.0,31.42,10.47,18.0,0.0,0.0
Aman Hakim Khan (DC),11.0,9.0,1.0,110.0,51,13.75,101.0,108.91,0.0,1.0,1.0,7.0,6.0,3.0,58.18181818,,,,,,,,,,,,
PP Shaw (DC),8.0,8.0,0.0,106.0,54,13.25,85.0,124.7,0.0,1.0,2.0,16.0,1.0,1.0,66.03773585,,,,,,,,,,,,
Anmolpreet Singh (SRH),4.0,4.0,0.0,105.0,36,26.25,82.0,128.04,0.0,0.0,0.0,15.0,2.0,3.0,68.57142857,,,,,,,,,,,,
MS Dhoni (CSK),16.0,12.0,8.0,104.0,32*,26.0,57.0,182.45,0.0,0.0,1.0,3.0,10.0,7.0,69.23076923,,,,,,,,,,,,
PN Mankad (LSG),5.0,5.0,2.0,93.0,64*,31.0,72.0,129.16,0.0,1.0,1.0,12.0,2.0,3.0,64.51612903,,,,,,,,,,,,
Anuj Rawat (RCB),9.0,7.0,4.0,91.0,29*,30.33,71.0,128.16,0.0,0.0,0.0,6.0,4.0,3.0,52.74725275,,,,,,,,,,,,
N Jagadeesan (KKR),6.0,6.0,0.0,89.0,36,14.83,81.0,109.87,0.0,0.0,1.0,14.0,1.0,4.0,69.66292135,,,,,,,,,,,,
R Tewatia (GT),17.0,10.0,6.0,87.0,20*,21.75,57.0,152.63,0.0,0.0,0.0,3.0,7.0,3.0,62.06896552,,,,,,,,,,,,
DJ Hooda (LSG),12.0,12.0,1.0,84.0,17,7.63,90.0,93.33,0.0,0.0,0.0,3.0,2.0,3.0,28.57142857,,,,,,,,,,,,
R Parag (RR),7.0,7.0,1.0,78.0,20,13.0,66.0,118.18,0.0,0.0,0.0,4.0,5.0,3.0,58.97435897,,,,,,,,,,,,
Harpreet Singh (PBKS),3.0,3.0,0.0,76.0,41,25.33,59.0,128.81,0.0,0.0,0.0,8.0,3.0,3.0,65.78947368,,,,,,,,,,,,
PBB Rajapaksa (PBKS),4.0,4.0,1.0,71.0,50,23.66,62.0,114.51,0.0,1.0,1.0,6.0,2.0,3.0,50.70422535,,,,,,,,,,,,
Vivrant Sharma (SRH),3.0,1.0,0.0,69.0,69,69.0,47.0,146.8,0.0,1.0,0.0,9.0,2.0,3.0,69.56521739,,,,,,,,,,,,
R Ashwin (RR),13.0,10.0,4.0,67.0,30,11.16,51.0,131.37,0.0,0.0,2.0,5.0,3.0,4.0,56.71641791,13.0,13.0,294.0,49.0,0.0,368.0,14.0,26.28,7.51,21.0,0.0,0.0
Lalit Yadav (DC),6.0,6.0,1.0,66.0,38,13.2,59.0,111.86,0.0,0.0,0.0,8.0,0.0,3.0,48.48484848,6.0,4.0,78.0,13.0,0.0,118.0,2.0,59.0,9.07,39.0,0.0,0.0
K Gowtham (LSG),7.0,7.0,3.0,61.0,23,15.25,37.0,164.86,0.0,0.0,0.0,2.0,5.0,3.0,62.29508197,7.0,6.0,96.0,16.0,0.0,118.0,3.0,39.33,7.37,32.0,0.0,0.0
